,product_uid,material
27880,101131.0,Vinyl
27945,101132.0,Glass
27946,101132.0,Glass
27964,101133.0,Steel
27988,101134.0,Resin
28001,101135.0,Medium Density Fiberboard (MDF)
28047,101137.0,Brass
28069,101138.0,Vitreous China
28087,101139.0,Wood
28125,101141.0,Wood
28247,101144.0,Stainless Steel
28285,101146.0,Zinc
28362,101148.0,No Shelf
28363,101148.0,Glass
28457,101151.0,Vitreous China
28475,101152.0,Metal
28496,101153.0,Wood
28592,101156.0,Plastic
28627,101157.0,PB
28655,101158.0,Metal
28722,101160.0,Composite
28780,101162.0,Stainless Steel
28836,101165.0,Steel
28851,101166.0,Vinyl
28881,101167.0,Polypropelene
28887,101167.0,0
28888,101167.0,Synthetic
28901,101168.0,Plastic
29018,101172.0,Wood
29057,101174.0,Metal
29078,101175.0,Metal
29178,101178.0,Synthetic
29189,101179.0,Aluminum
29215,101180.0,Other
29234,101181.0,Wood
29250,101182.0,Composite
29324,101184.0,Vitreous China
29346,101185.0,Galvanized Steel
29347,101185.0,Steel
29348,101185.0,Plastic/Metal
29435,101188.0,Wood
29500,101191.0,Metal
29610,101195.0,Plastic
29642,101196.0,Stainless Steel
29671,101197.0,Laminated Particle Board
29713,101199.0,Steel
29733,101200.0,Metal
29750,101201.0,Aluminum
29798,101203.0,Wood
29850,101205.0,Steel
29871,101206.0,Medium Density Fiberboard (MDF)
29971,101210.0,Medium Density Fiberboard (MDF)
30006,101211.0,Steel
30029,101212.0,Steel
30058,101213.0,Plastic
30088,101214.0,Steel
30110,101215.0,Particle Board
30175,101217.0,Plastic
30199,101218.0,Plastic
30243,101220.0,Wood
30244,101220.0,Wood
30248,101220.0,Solid-surface materials
30283,101221.0,Ceramic
30317,101223.0,Metal
30358,101224.0,Ceramic
30372,101225.0,Vitreous China
30416,101227.0,Steel
30445,101228.0,Cast Iron
30494,101229.0,Plastic
30534,101231.0,Wood
30537,101231.0,Wood
30560,101232.0,Polypropylene
30619,101233.0,Stainless Steel
30678,101235.0,Plastic
30718,101237.0,Chrome-Plated Steel
30719,101237.0,Porcelain
30751,101239.0,Glass
30795,101241.0,Aluminum
30811,101242.0,Medium Density Fiberboard (MDF)
30857,101244.0,PVC
30865,101245.0,Metal
30954,101248.0,Foam
30955,101248.0,Steel
30972,101249.0,Rubber
31000,101250.0,Other
31066,101253.0,Wood
31081,101254.0,Plastic
31110,101255.0,Plastic
31183,101258.0,Other
31232,101260.0,Steel
31233,101260.0,Polypropylene
31237,101260.0,Cast polymers
31256,101261.0,Cast Iron
31346,101264.0,Concrete
31446,101268.0,Powder-Coated Steel
31547,101271.0,Stainless Steel
31610,101273.0,Copper
31653,101274.0,Fiberglass
31684,101275.0,Synthetic
31700,101276.0,Wood
31727,101277.0,Laminate
31892,101284.0,Nylon
31963,101288.0,Metal
32034,101290.0,Solid Brass
32189,101295.0,Steel
32246,101299.0,Plastic
32278,101300.0,Steel
32309,101301.0,Natural Stone
32332,101302.0,Vinyl
32344,101303.0,Polypropylene
32420,101307.0,Aluminum
32448,101308.0,100% post-industrial recycled synthetic fibers with a non-skid rubber backing
32454,101308.0,90
32469,101309.0,Steel
32470,101309.0,Steel
32474,101309.0,Solid-surface materials
32486,101310.0,Aluminum
32529,101312.0,Steel
32540,101313.0,Steel
32559,101314.0,Wood
32587,101315.0,Other
32614,101316.0,Aluminum
32645,101317.0,Glass
32663,101318.0,Vinyl
32688,101319.0,Plastic
32700,101320.0,Composite
32735,101321.0,Laminate
32769,101322.0,Vitreous China
32817,101324.0,Zinc
32843,101325.0,Steel
32848,101325.0,Steel
32908,101327.0,Steel
32953,101329.0,Aluminized Alloy Steel
33110,101335.0,Brass
33138,101336.0,Stainless Steel
33178,101338.0,Plastic
33231,101340.0,Metal
33250,101341.0,Laminate
33357,101345.0,Steel
33382,101346.0,MDF / Composite Wood
33408,101347.0,Vitreous China
33437,101348.0,Metal
33468,101349.0,Steel
33489,101351.0,Carbon
33499,101351.0,Wood
33515,101352.0,Steel
33578,101354.0,Laminate
33595,101355.0,Plastic
33626,101356.0,Wood
33710,101360.0,Metal
33712,101360.0,Steel
33730,101361.0,Plastic
33802,101364.0,Other
33840,101366.0,Metal
33841,101366.0,Plastic/Metal/Wood
33906,101369.0,Galvanized Steel
33927,101370.0,Steel
33952,101371.0,Steel
33975,101372.0,Composite
34000,101373.0,Particle Board
34016,101373.0,Engineered quartz composite
34032,101374.0,Multi-Surface
34054,101375.0,Steel
34122,101379.0,Bamboo
34160,101380.0,Stainless steel
34201,101381.0,Metal
34277,101383.0,Stainless Steel
34292,101384.0,Steel
34335,101386.0,Concrete
34349,101387.0,Steel
34361,101387.0,Fiberglass
34393,101388.0,Metal
34429,101389.0,Ceramic
34473,101391.0,Powder-Coated Steel
34517,101392.0,Polyester
34527,101392.0,100
34656,101396.0,Acrylic
34774,101400.0,Vinyl
34817,101402.0,Aluminum
34839,101403.0,Zinc
34933,101408.0,Medium Density Fiberboard (MDF)
34980,101410.0,Bamboo
35000,101411.0,Aluminum
35074,101414.0,Vitreous China
35126,101416.0,Resin
35169,101418.0,Steel
35181,101419.0,Metal
35199,101420.0,Steel
35227,101421.0,Composite
35246,101422.0,Polyfiber
35283,101423.0,Fiberglass
35329,101424.0,Steel
35406,101428.0,Multi-Purpose
35415,101428.0,Diamond
35494,101432.0,Wood
35555,101434.0,Fiberglass
35587,101435.0,Synthetic
35631,101437.0,Zinc
35715,101440.0,Galvanized Steel
35730,101441.0,Steel
35858,101446.0,Concrete
35875,101447.0,Fiberglass and PVC
35890,101448.0,PEX
35893,101448.0,Brass
35914,101449.0,Aluminum
35939,101450.0,Metal
35981,101452.0,Steel
36004,101453.0,Aluminum
36012,101453.0,Aluminum
36025,101454.0,Polypropylene
36054,101455.0,Cast Iron
36126,101457.0,Stainless Steel
36188,101460.0,Wood
36247,101462.0,ABS Plastic
36298,101464.0,Fiberglass
36310,101465.0,Wood
36339,101466.0,Cement
36361,101467.0,Plastic
36415,101470.0,Steel
36442,101472.0,Composite
36458,101473.0,Zinc
36470,101473.0,Comfort Grip
36519,101476.0,Plastic
36538,101477.0,Fibre Reinforced Polymer (FRP)
36565,101478.0,Aluminum
36585,101479.0,Metal
36608,101480.0,Rubber
36672,101482.0,Ceramic
36680,101483.0,Foam
36690,101483.0,0
36724,101484.0,Ceramic
36762,101486.0,Steel
36784,101487.0,High Density Fiberboard (HDF)
36803,101488.0,Vinyl
36865,101489.0,Stainless Steel
36883,101490.0,Chrome-Plated Steel
36884,101490.0,Porcelain
36895,101491.0,Wood
36925,101492.0,Other
36954,101493.0,Steel
36970,101495.0,Aluminum
36989,101496.0,Metal
36991,101496.0,"Metal, Rattan"
37016,101497.0,No Handle
37030,101498.0,Wood
37054,101499.0,Steel
37126,101502.0,Plastic
37151,101503.0,Metal
37300,101507.0,Stainless Steel
37362,101510.0,Fibre Reinforced Polymer (FRP)
37390,101511.0,Metal
37435,101512.0,Metal
37460,101513.0,Steel
37483,101514.0,Other Wood
37502,101515.0,Polyfiber
37545,101517.0,Wood
37749,101526.0,Aluminum
37780,101527.0,16mm Particle Board with Wood Veneer and Stainless Steel Clad Poles
37874,101531.0,Acrylic
37893,101532.0,Poplar
37909,101532.0,Other
37957,101533.0,Metal
37976,101534.0,Galvanized Steel
38034,101537.0,Metal
38050,101538.0,Nylon
38117,101540.0,Steel
38141,101541.0,Comfort Grip
38165,101542.0,Steel
38188,101543.0,Plastic
38229,101545.0,Composite
38251,101546.0,Metal
38271,101547.0,Composite
38295,101548.0,Steel
38308,101549.0,Rubber
38349,101551.0,Steel
38356,101552.0,Copper
38359,101552.0,Brass
38399,101553.0,Steel
38414,101554.0,Plastic
38430,101555.0,Aluminum
38470,101557.0,Plastic
38503,101558.0,Steel
38524,101559.0,Carbon Steel
38547,101560.0,Polyfiber
38573,101561.0,Particle Board
38642,101564.0,Steel
38662,101565.0,Wood
38684,101566.0,Metal
38721,101568.0,Thermoplastic
38770,101569.0,Ceramic
38822,101571.0,Metal
38872,101573.0,Metal
38942,101575.0,Metal
39033,101579.0,Stainless Steel
39094,101581.0,Metal
39117,101582.0,Steel
39131,101582.0,Glass
39158,101583.0,Galvanized Steel
39174,101584.0,Plastic
39260,101587.0,Particle Board
39364,101591.0,Galvanized Steel
39397,101592.0,Water
39412,101593.0,Aluminum
39434,101594.0,Laminate
39482,101596.0,Polyfiber
39483,101596.0,Aluminum
39509,101597.0,Metal
39543,101598.0,Steel
39611,101601.0,Ceramic
39619,101602.0,PVC
39638,101603.0,Plastic
39670,101604.0,Resin
39694,101605.0,Wood
39711,101606.0,Multi-Purpose
39713,101606.0,Brass
